clean_review;label;predicted_sentiment
"Joe is the movie about the dark side of the force of the 1960's in America, and Susan Sarandon had nice boobs. This movie scared me so much when I saw it in the theatre that I never liked Peter Boyle until Young Frankenstein and was still quite leery of him even after that comedy. Looking back now from today's experience, this film seems current again in being direct and to the point of half the electorate's approval of John McCain's ""Joe The Plumber"" typecast and their fear of electing a black man as President of the USA in the coming weeks. A black Prez would be seen as sweet revenge of the ""niggers"" but bound to again bring fire to many minds if not the streets, this time by Joe enthusiasts. So, the spirit of Joe in the film is resurrected in the campaign of Joe The Plumber! Still, I love to be American and be terrified at both and by the knowledge that they illustrate what ironically Gregory Peck said our civilized law also is: ""a living, breathing reality!"" God help us.";1;Negative
"Three children are born at the exact same time,during a lunar eclipse.Just before their 10th birthday they embark on a killing spree.""Bloody Birthday"" is a typical slasher from early 80's.It's a pretty average stuff with plenty of nudity.The evil children never generate any menace and there is almost no suspense.There is also no gore or scares in ""Bloody Birthday"",but the film is mildly entertaining.Unfortunately no real explanation is provided for the kids sudden homicidal mania.The murder scenes are quite gruesome for example we've got death by handgun,baseball bat,skipping rope and shovel.So if you're a fan of early 80's slasher movies give this one a look.";1;Negative
All those who are into the PC culture are aghast at the dogmatic Christian view of this film, claiming it contains racist ideation and/or religious intolerance.  Those who don't care about this, but are oriented towards slick production values and competent acting are dismayed at the lack of such here.  Those who decry both of these are apoplectic that this production was let loose on the general public, as evidenced in comments here.  What is an interesting premise, which isn't original, but is a combination of GHOST and FROM BEYOND, is dealt with in a rather immature manner in this film, yet done with gusto. What the crew and actors lacked in sensibility, professional abilities and technical expertise is somewhat offset by the intensity they display.  It isn't nearly as bad as many here think, and would have been fine in the hands of someone with maturity and common sense, and it is enough below mediocrity to elicit laughs and groans. However, it unfolds with enough intensity to keep interest throughout, and is close to on par with a Corman-produced entry of his earliest period of work, or the material of Arkoff or Sam Katzman. If you get it for $2 (or less) as did I, you won't feel disappointed, but will wish you could have had a say in how it was made.;0;Positive
"....OK, small-town, clueless sheriff? Check. Sheriff's hot daughter? Check? Ne'er-do-well boyfriend of sheriff's hot daughter, whom sheriff hates? Check. Corporate land developer who greedily puts profit over people? Check. Developer's rank-and-file accidentally unleashing a primordial monster, then being pressured to cover it up? Check. Natives warning of mass death and destruction if things are not returned back to the way they were? Check. Amateurish CGI special effects that could have been produced by a Commodore 64 computer? Check. Seriously, virtually all the clich?©s of your typical Sci-Fi Original movie have been lumped into a classic, so-bad-it's-good movie. The only one that's missing is the scientist/expert trying to impart his knowledge; there is a paleontologist with three students who get ambushed my The Bone Eater fairly early in the movie, but they are basically extras in the movie. And I can honestly say that I predicted virtually all of this; right down to who survives and who doesn't (though I have to say I got the actual death time of one of the characters wrong by about an hour). I swear I could have done this movie myself if they gave me all the characters. Despite all this, the movie is fun to watch, if for no other reason than to play MST3K with your friends. If you're up for some mindless fun, it's a great movie to watch, which is why I give this movie a surprisingly respectable 4, even though for all intents and purposes it deserves a much, much lower rating. But then again you wouldn't tune in to a SciFi Original movie if you were looking for a movie with an actual plot, substantive characters or good special effects, would you?";0;Positive
"I'm not sure if this is a comedy or not, but I found it pretty comical. Isobel is possessed by the devil. Somehow a perverted priest and the gardener are gonna' fix that. Part exorcism and part soap opera, you'll at least get some laughs. There's the paranoid jealous dad, satanic sister, Valley of the Dolls mother, and then the cowboy boyfriend; all there to help the skirt chasing priest fight the demons from dear Isobel. It sometimes felt like a Jerry Springer episode, but I actually paid to see this. Instead of the cool head-twisting, sailor cursing, and crucifix humping that Regan did in The Exorcist; you get a lot of Isobel bouncing on her bed like it's a trampoline, hiding in her closet, and jumping from a hay-loft. Yeah, it's Chuck E. Cheese gone wild. So, if you want to watch a quote unquote horror film that is worth a few laughs while you wait for the predictable ending ... this is your movie.";0;Positive
"Symbologist Robert Langdon (Hanks) is called to Rome to help decipher the mystery behind the Illuminati before a new science experiment blows up the city.  The Da Vinci Code broke records in 2006 but for the vast majority of Dan Brown followers it did not do his award winning book justice and though running at a good 2 and a half hours, seemed to bore many.  Having read the book, I was perhaps one of the few who enjoyed Tom Hanks and Audrey Tautou attempt to solve the mystery of the murder in the Louvre but for Angels and Demons the scales were raised once more as lead star and director return.  Having asked around, most people seem to prefer Angels and Demons to The Da Vinci code for an entertaining read and it seems as critiques and fans, whilst still not fully justified, prefer this latest adaptation to the 2006 release.  This Howard picture certainly has a more clinical energy and exercise to it as unlike Da Vinci, Tom Hanks' Robert Langdon has only one night to solve the mysterious activities of the forgotten Illuminati in the Vatican and because of the time limitations, the action and desperation up the ante and deliver an excitement that certainly beats The Da Vinci code but also generates plenty of twists and stunning murder sequences.  The interesting factor of this 2009 release is the constant elements being justified for the murders. Earth, wind, water and fire are all included in drastic and powerful sequences to pronounce a feeling of overall power to the situation.  This really does justify the tag of thriller with a constant tension and sharp drama with the issues and beliefs once more given a full working over.  Just like 3 years ago, there are many debates and discoveries of symbols once believed to be lost forever and Langdon is again the key character to show everyone the light in and amongst the controversy of other pressing circumstances.  It is fair to say Dan Brown is a complex writer; he certainly likes to cram issues and dramas in amongst his action and thrilling sequences. As well as trying to discover the Illuminati, there is also the scenario of the election of a new pope, the dealings with a new scientific experiment and the power of Religion is again present. All interesting to discover and listen to, if occasionally the debates and dialogue tend to send your mind drifting but as there is so much in the novel, this was always likely.  Ron Howard, who kept a frankly ordinary type of direction rolling in Da Vinci, returns in perhaps the worst way possible. His jerky ever moving camera styling does nothing to keep the pressure up, and we can never fully accept what is happening on screen thanks to this frankly awfully portrayed style. He is certainly no Paul Greengrass and this is by no means Bourne.  Slick and stylized this is faster and more interesting than Da Vinci";1;Negative
This movie wasn't too funny. It wasn't too horrible either. Just a fun ride aboard the Soul Plane. It's a black-owned flight service with a kick-ass disco, beautiful bar, and pumping stewards. The plot takes you through the whole idea of a black (not race or color, but 'style') -owned plane with the same style of black humor. At times, there are some great rare scenes like when the main character uses the 'normal' lavatory in the 'normal' plane. Check that out. There are lulls, however, and I find it most in the character who played the Soul Pilot. Watch to find out who it is. All in all, it's a fun movie. Tom Arnold adds to the fun with his 'cracker' attitude. This is one movie to watch when playing poker, when you're drunk, or just vegging.;0;Positive
"Yes, indeed we have a winner- a winner in best dumb-action-movie!  The only reason I chose to vote a 10 for this movie is because it's so incredibly bad-made that it actually becomes funny.  ""Night Hunter"" is basically about Jack Cutter, a Vampire hunter (Vampire hunters have been in his generation for centuries, apparently), and his mission, being that he has to kill the last remaining Vampires.  This movie contains one of the cheesiest scenes I have ever seen in my life. Not to mention the really bad gun-shooting scenes. When people are shot in this movie, blood splatters- thick as ketchup all over the place, this makes the movie seem so cheap and lame that you just lose interest. A constant shaking of the camera is what annoys me the most during the fight-scenes. This is, I suppose, done to create an ""action-effect"", though in my opinion it gives no effect whatsoever. Its completely ridiculous!   All stunt-scenes are done extremely badly. E.g a scene where the dead Vampire-leader gets thrown off a roof. When the corpse hits the ground, it bounces like a wobbly rubber-doll. A scene where Jack sniffs the ground, getting a vision was so lame it got me laughing hysterically.  Lame music, cheesy scenes, bad acting and plain dumb filming techniques are obviously the functions that make this movie such a malfunction. To state that this is a good movie would be the same as stating that nuclear bombs are good for humans. Clearly those of you who say that this is one of the best action-movies, haven't seen many in your life.  This is basically a B-class vampire-action-movie that deserves 0/10 but which I'll give 10/10, just for its ability (being the lousiest action-movie I have ever seen)of making me laugh and because I just can't live without it.";1;Negative
"As a young lass, beautiful Joan Woodbury (as Rita Adams) was orphaned, after her ""stool pigeon"" father was shot to death. As a young woman, Ms. Woodbury finds herself struggling to keep a job, as her murdered father's ex-convict status makes Woodbury a bad business risk. Woodbury rooms with understanding songstress Linda Ware (as Donna Andrews), who advises Woodbury to get in touch with old orphanage friends John Archer (as Bob Elliott) and Jack La Rue (as Mickey Roman). But, none of her friends can help when Woodbury is the victim of a scam, which lands her in prison. Upon release, Woodbury decides to give the male mobsters a run for their money?É   Re-titled ""Gangs, Inc."", this is an obviously weak, cheap mobster melodrama. Still, it's a lot of fun to watch Woodbury work wonders with inferior material. She plays the innocent growing more sophisticated ""Rita"" quite convincingly; and, she tosses in a great bit as a blonde hooker. Woodbury must be added to the list of unfortunately underutilized Hollywood actresses of the past. ""Paper Bullets"" also features an early Alan Ladd (as Jimmy Kelly aka Bill Dugan). Ms. Ware, who sang the hit ""An Apple for the Teacher"" with Bing Crosby, sings a couple of fair '40s numbers nicely. But, mainly, it's Woodbury's show.  **** Paper Bullets (1941) Phil Rosen ~ Joan Woodbury, Linda Ware, Alan Ladd";0;Positive

